name,title,lobbyist_type,client,lobbyist_status,start_date,end_date,lobbyist_street_address_1,lobbyist_street_address_2,lobbyist_city,lobbyist_region,lobbyist_country,lobbyist_postal_code,client_street_address_1,client_street_address_2,client_city,client_region,client_country,client_postal_code,subject_matter_category,subject_matter_status,activity_description,public_office_holders
Michelle Diplock,Manager of Planning and Government Relations,In-house,West End Home Builders' Association,Active,2021-09-28,2022-09-28,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,Garbage/Recycling,Active,To meet with council members to discuss waste design standards and how it relates to city wide intensification policy.,"[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}]"
Michelle Diplock,Manager of Planning and Government Relations,In-house,West End Home Builders' Association,Active,2021-08-03,2022-08-03,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,Planning and Development - Official Plan,Active,"The GRIDS Official Plan review to accommodate an additional 230,000 people in Hamilton by 2051.","[{'name': 'Clark, Brad', 'title': 'Councillor'}]"
Michelle Diplock,Manager of Planning and Government Relations,In-house,West End Home Builders' Association,Active,2021-08-03,2022-08-03,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,Planning and Development - Official Plan,Active,"The GRIDS Official Plan review to accommodate an additional 230,000 people in Hamilton by 2051.","[{'name': 'Wilson, Maureen', 'title': 'Councillor'}]"
Michelle Diplock,Manager of Planning and Government Relations,In-house,West End Home Builders' Association,Active,2021-08-03,2022-08-03,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W3N7,Planning and Development - Official Plan,Active,"The GRIDS Official Plan review to accommodate an additional 230,000 people in Hamilton by 2051.","[{'name': 'Ferguson, Lloyd', 'title': 'Councillor'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-07-30,2022-07-29,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road E,,Hamilton,ON,Canada,L8W3N7,Environment,Active,The Hamilton Conservation Authority is consulting on a Natural Heritage Biodiversity Offsetting policy. Offsetting policies have been successfully implemented in multiple jurisdictions across North America and Europe. Adjacent Conservation Authorities have also implemented offsetting policies and the provincial government has an offsetting policy in place through the overall benefit permitting process for species at risk and is consulting on a wetlands offsetting policy. The WE HBA supports a local offsetting policy for the HCA provided it does not conflict with or duplicate any provincial offsetting policy and remains within the scope of conservation authority powers under the amended Conservation Authorities Act.,"[{'name': 'Ferguson, Lloyd', 'title': 'Councillor'}]"
Kevin Whyte,,Volunteer,Habitat for Humanity Hamilton,,2021-07-19,2022-07-19,,,,,,,285 Nash Rd N,,Hamilton,ON,Canada,L8H 7P4,Affordable Housing,Active,Concerning an existing build project on Sherman avenue and building permits.,"[{'name': 'Nann, Nrinder', 'title': 'Councillor'}]"
Dale Edginton,Operations Manager,In-house,Endo Enterprises,Active,2021-07-08,2022-07-08,1618-902 Quebec St,,VANCOUVER,BC,Canada,V6A0C5,1618-902,,VANCOUVER,ON,Canada,V6A0C5,Real Estate/Property,Active,"Review of hydronic additive (EndoTherm) as potential ECM for buildings owned and operated by the City of Hamilton. EndoTherm (which is supported by rebates in BC, US, UK & Ireland) is proven to reduce HVAC consumption of closed loop boiler systems by up to 15%. 

Proof of concept pilots have been run by Regional District of Waterloo, QuadReal, Minto Properties, Drewlo Holdings to name a few

Full pilot protocol as proof of concept available.","[{'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Giancarlo Drennan,Managing Principal,Consultant,Cumberland Strategies,Active,2021-06-29,2022-06-29,"151 Bloor Street West, Suite 810",,Toronto,ON,Canada,M5S 1S4,"6220 Hwy 7, Suite 600",,Woodbridge,ON,Canada,L4H 4G3,Garbage/Recycling,Active,Assisting Waste Connections advance a zoning and building permit that is in process currently.,"[{'name': 'Merulla, Sam', 'title': 'Councillor'}]"
Giancarlo Drennan,Managing Principal,Consultant,Cumberland Strategies,Active,2021-06-29,2022-06-29,"151 Bloor Street West, Suite 810",,Toronto,ON,Canada,M5S 1S4,421 Seaman St,,Stoney Creek,ON,Canada,L8E 3J4,Planning and Development - Zoning By-law,Active,Assisting Bartek Ingredients with zoning and site plan approval work as they apply to their two locations in Stoney Creek.,"[{'name': 'Pearson, Maria', 'title': 'Councillor'}]"
Steve Ostrowski,,In-house,MTS Consortium Partner,,2021-06-29,2022-06-29,,2,,,,,2203 Bloor St. W,,Toronto,ON,Canada,M6S 1N5,Transit,Active,Promotion of Ultra Light On/Off Rail Technology in lieu of trasditional LRT's for Hamilton's Transit future.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Murray, Chris', 'title': 'City Manager'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Brown, Dale', 'title': 'Constituency Assistant'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Isaac Ransom,"Head of Government Relations, Canada",In-house,Neuron Mobility (Canada) Ltd,Active,2021-06-23,2022-06-23,777 Dunsmuir Street,Suite 1700 Vancouver,Vancouver,BC,Canada,V7Y 1K4,777 Dunsmuir Street Suite 1700 Vancouver,,Vancouver,BC,Canada,V7Y 1K4,Transportation,Active,"Engage with the City of Hamilton on how Neuron works with cities to connect people and places in a safe, convenient and fun way.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Brian Lennie,"Senior Advisor, Municipal Affairs",In-house,Enbridge Gas Inc.,Active,2021-06-07,2022-06-07,50 Keil Drive North,,Chatham,ON,Canada,N7M5M1,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,Environment,Active,Providing Mayor and Councillors with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Sarah Hicks,Communications and Marketing Manager,In-house,Element5 Limited Partnership,Active,2021-06-02,2021-12-31,114 - 67 Mowat Avenue,,Toronto,ON,Canada,M6K3E3,114 - 67 Mowat Avenue,,Toronto,ON,Canada,M6K3E3,Affordable Housing,Active,"Communications approach regarding new construction options for affordable housing. Mass timber is now produced in Ontario and this construction material offers a more sustainable way to build. By prefabricating components off-site in the factory, builds can take advantage of reduced risk, controlled expenses, and rapid construction timelines.","[{'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}]"
Andréa Callà,Independent Director,In-house,SusGlobal Energy Corp.,Active,2021-05-31,2022-05-31,200 Davenport Road,,Toronto,ON,Canada,M5R 1J2,200 Davenport Road,,Toronto,ON,Canada,M5R 1J2,Garbage/Recycling,Active,"-Seeking business relationship opportunities related to organic waste processing and organic liquid fertilizer production.
-Building Brand awareness.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Andréa Callà,Independent Director,In-house,SusGlobal Energy Corp.,Active,2021-04-13,2022-04-13,200 Davenport Road,,Toronto,ON,Canada,M5R 1J2,520 Nash Rd. N.,,Hamilton,ON,Canada,M6E 2Z9,Planning and Development - Site Plan,Active,Regarding Formal Consultation meeting,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}]"
Hasneet  Punia,Manager Public Policy,In-house,Superpedestrian Canada Inc.,Active,2021-05-19,2022-05-19,"SUITE 2500 PARK PLACE, 666 BURRARD STREET",,Vancouver,BC,Canada,V6C 2X8,666 BURRARD STREET,"SUITE 2500 PARK PLACE,",Vancouver,BC,Canada,V6C 2X8,Transportation,Active,I will be lobbying to staff and members of Council to pass a by-law to allow shared e-scooter pilot move forward in Hamilton.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}]"
Chris Carrier,National Accounts Manager,In-house,Fire Marque Inc.,Active,2021-05-16,2022-05-16,P.O. Box 2018,,Thornton,ON,Canada,L0L 2N0,P.O. Box 2018,,Thornton,ON,Canada,L0L 2N0,Emergency Services,Active,"To discuss with Fire Chief Cunliffe, GM of Finance & Corporate Services, Councillor Arlene VanderBeek, Fire Marque's cost recovery program for the Fire Service in response to insured perils. To review the types of property related incidents that would be eligible for cost recoveries from the insureds insurer. Almost all property policies contain coverage to offset eligible expenses of the fire service in saving and protecting insured property. Fire Marque has over 100 clients in Ontario using our copy righted program, Indemnification Technology.","[{'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2021-05-03,2022-05-03,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,629 Safari Road,,Hamilton,ON,Canada,L0R 1K0,Planning and Development - Combined Application,Active,Site specific approval for farm labour residences on property not tied to septic system of main residence of owners.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}]"
James Patrick,,Consultant,Proof Strategies Inc,Active,2021-04-26,2022-04-26,1 Rideau Street suite 700,,Ottawa,ON,Canada,K1N 8S7,1 RIDEAU ST SUITE 700,,OTTAWA,ON,Canada,K1N 8S7,Information Technology,Active,"On behalf of our client Nextdoor, arranging a presentation on how City of Hamilton could use Nextdoor's complementary Nextdoor for Public Services platform for engage with citizens in Hamilton, for the communication of geo-specific messaging on civic news and announcements targeted to particular neighborhoods in the city.","[{'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Aylin Lusi,VP Public Affairs,In-house,UPS Canada,Active,2021-04-21,2021-07-21,1930 Derry,,Mississauga,ON,Canada,L5S1E2,1930 Derry Road East,,Mississauga,ON,Canada,L5S1E2,Transportation,Expired,Engagement with officials regarding changing policies for essential services in the context of the pandemic. Outreach to confirm ability of essential service transportation activities to continue operating during different phases of lockdown.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Richardson, Dr. Elizabeth', 'title': 'Medical Officer of Health'}]"
Larry Di Ianni,Owner,Consultant,LDi Consulting,Active,2021-04-01,2022-04-01,21 King St. W,5th Floor,Hamilton,ON,Canada,L8P 4W7,c/o 952 Queenston Road,,Hamilton,ON,Canada,L8G 1B7,Real Estate/Property,Active,Negotiating Lease Issues for Sandbox Sports Inc,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Janet MacLeod,Branch Manager,In-house,Communauto,Active,2021-03-29,2022-03-29,625 King St. E.,Unit L3,Kitchener,ON,Canada,N2G 4V4,625 King St. E.,Unit L3,Kitchener,ON,Canada,N2G 4V4,Transportation,Active,"Discussion in respect to the proposed Free-Floating carsharing program, and carsharing in Hamilton generally.","[{'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}]"
John Perenack,Principal,Consultant,StrategyCorp Inc.,Active,2021-03-24,2022-03-24,145 King Street East,2nd Floor,Toronto,ON,Canada,M5C 2Y7,13450 - 102nd Avenue,Suite 2400,Surrey,BC,Canada,V3T 0C3,Licences/Permits,Active,7-Eleven Canada’s liquor sales licence applications – ensuring safety and being a responsible community business.,"[{'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
